"FIPS_y","Agri_2001","Agri_2002","Agri_2003","Agri_2004","Agri_2005","Agri_2006","Agri_2007","Agri_2008","Agri_2009","Agri_2010","Agri_2011","Agri_2012","Agri_2013","Agri_2014","Agri_2015","Agri_2016","Agri_2017","Agri_2018","Agri_2019","Agri_2020","All_2001","All_2002","All_2003","All_2004","All_2005","All_2006","All_2007","All_2008","All_2009","All_2010","All_2011","All_2012","All_2013","All_2014","All_2015","All_2016","All_2017","All_2018","All_2019","All_2020","Mini_2001","Mini_2002","Mini_2003","Mini_2004","Mini_2005","Mini_2006","Mini_2007","Mini_2008","Mini_2009","Mini_2010","Mini_2011","Mini_2012","Mini_2013","Mini_2014","Mini_2015","Mini_2016","Mini_2017","Mini_2018","Mini_2019","Mini_2020","Util_2001","Util_2002","Util_2003","Util_2004","Util_2005","Util_2006","Util_2007","Util_2008","Util_2009","Util_2010","Util_2011","Util_2012","Util_2013","Util_2014","Util_2015","Util_2016","Util_2017","Util_2018","Util_2019","Util_2020","Neig_2001","Neig_2002","Neig_2003","Neig_2004","Neig_2005","Neig_2006","Neig_2007","Neig_2008","Neig_2009","Neig_2010","Neig_2011","Neig_2012","Neig_2013","Neig_2014","Neig_2015","Neig_2016","Neig_2017","Neig_2018","Neig_2019","Neig_2020","M4_2001","M4_2002","M4_2003","M4_2004","M4_2005","M4_2006","M4_2007","M4_2008","M4_2009","M4_2010","M4_2011","M4_2012","M4_2013","M4_2014","M4_2015","M4_2016","M4_2017","M4_2018","M4_2019","M4_2020","M4.I_2001","M4.I_2002","M4.I_2003","M4.I_2004","M4.I_2005","M4.I_2006","M4.I_2007","M4.I_2008","M4.I_2009","M4.I_2010","M4.I_2011","M4.I_2012","M4.I_2013","M4.I_2014","M4.I_2015","M4.I_2016","M4.I_2017","M4.I_2018","M4.I_2019","M4.I_2020","clusters"
1001,22455,18063,39941,49903,59099,70534,50411,24740,33800,25844,30528,16858,27137,17406,18684,28513,33196,37340,36171,32225,949800,984039,1008032,1170278,1195319,1277094,1298942,1172510,1209088,1286603,1375813,1587254,1477094,1478607,1586164,1652177,1587695,1602077,1540762,1520973,4644,3053,3696,5917,7513,10583,11745,10492,8254,9415,7851,10349,14470,12304,10845,13294,11898,16766,16544,16514,23121,53320,57076,94578,74428,115163,133625,111153,133833,204705,294939,446053,366772,339428,413366,424753,339386,336710,330972,358315,15358321,15590573,16035315,16954006,17697051,18162406,18182106,17704304,17174744,17546536,17766747,18029659,17947838,17678836,17838925,18312095,18350804,18355564,18368618,17786529,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,1203.69183926629,1227.04363453638,1169.74713118292,1185.92030214638,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,0.0163354635367169,0.00347956112524506,0.00169167040367151,0.00103861655365034,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1003,19330,19693,34810,27779,12564,20389,6889,5970,10735,15185,19211,19769,37976,13135,11929,14351,22380,26705,26931,54975,4007706,4193288,4426472,4912303,5502688,5673657,5852051,5569570,5328816,5381575,5372338,5426597,5678991,5775601,5992794,6266434,6453588,6799715,7134734,6985901,10778,8774,9164,9778,13577,15570,14460,10282,9839,10733,12004,14102,12495,11039,10219,16712,14495,14522,13679,12080,16151,18189,17613,19563,19442,19429,20040,22082,19865,21026,22419,22402,23294,23134,23459,27396,27047,28097,29100,33987,33881742,34203408,34958766,36674741,38502598,40231926,40620020,39720770,38749066,38950295,39336400,39150341,39899177,39929598,40461856,41410362,42088032,42570280,43406631,42393482,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,1203.69183926629,1227.04363453638,1169.74713118292,1185.92030214638,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,0.0163354635367169,0.00347956112524506,0.00169167040367151,0.00103861655365034,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1005,82711,84103,66544,93708,92097,83993,NA,NA,NA,NA,40639,47027,95297,65581,79343,76918,73725,80793,66815,37604,812751,798398,818206,888479,892271,875189,NA,NA,NA,NA,741762,713793,808975,762048,740218,727850,721125,730518,729105,687074,52795,29439,33150,39501,35079,34219,NA,NA,NA,NA,38516,39809,39744,40223,34527,38417,41291,36087,35934,23396,12884,12959,11036,10911,6802,7576,NA,NA,NA,NA,7847,7574,8337,7790,8245,8708,7338,7567,8735,8400,5475690,5582414,5671089,6053487,6383078,6535781,NA,NA,NA,NA,6709779,6656581,6846320,6673283,6689844,6726376,6773731,6704285,6748301,6523458,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,NA,NA,NA,NA,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,NA,NA,NA,NA,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1007,15906,17975,NA,15562,15563,18766,NA,15253,NA,NA,13549,13335,15075,10876,NA,7016,7104,5231,4831,5801,292495,296437,NA,324760,322815,325779,NA,344498,NA,NA,372908,363604,361921,356088,NA,348377,353234,353016,380453,388330,3697,1389,NA,2411,6155,4966,NA,10841,NA,NA,12721,10314,6986,7369,NA,3609,9682,9539,1132,1115,2390,2682,NA,2647,1704,1657,NA,1579,NA,NA,1788,1654,1678,1574,NA,1930,1907,1973,2334,3115,51730499,53616525,NA,57979913,60306966,60240426,NA,60713171,NA,NA,60145299,60412699,60270339,59742673,NA,61056287,62326603,63301378,64346695,61568933,842.551020539099,890.822964332896,NA,987.507224344436,1044.63754894069,1113.14895258306,NA,1227.04363453638,NA,NA,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,NA,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,NA,0.0208890160047776,0.0323855171988804,0.0336687229377164,NA,0.00347956112524506,NA,NA,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,NA,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1009,89691,68736,96103,NA,NA,NA,NA,37761,52440,48491,9526,7130,60389,NA,114894,77161,109862,126004,77814,24708,810054,814356,839651,NA,NA,NA,NA,853788,843906,839899,808595,879500,873500,NA,936725,865373,920401,967135,932215,881874,12798,9170,20716,NA,NA,NA,NA,10210,3076,12346,18726,16976,4416,NA,1389,1648,1637,1920,1847,1959,5248,4620,4537,NA,NA,NA,NA,4439,4096,3622,4191,4115,4200,NA,4502,4865,4906,4905,4986,5327,48567965,49774251,50433361,NA,NA,NA,NA,52983104,50773750,51051442,52047101,52892104,52499735,NA,52388644,52723459,53555953,54443361,54435057,51814594,842.551020539099,890.822964332896,935.325803416099,NA,NA,NA,NA,1227.04363453638,1169.74713118292,1185.92030214638,1224.02139392336,1274.51443066992,1300.34891711287,NA,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,NA,NA,NA,NA,0.00347956112524506,0.00169167040367151,0.00103861655365034,0.000959678125724309,0.000730982779898323,0.000634191337358313,NA,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1011,39676,50080,45980,39781,33305,49057,18525,NA,52480,39354,36450,59597,36997,21256,25069,NA,NA,NA,40936,NA,234911,242874,239075,236364,234789,244146,229268,NA,254445,238863,230337,245887,225539,209790,204365,NA,NA,NA,247229,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,4042,4046,3494,3901,3547,3796,3884,NA,3183,4054,3963,3635,3770,3678,3938,NA,NA,NA,4956,NA,14437542,14611957,14894448,15608931,16265942,16637189,16569107,NA,15834879,16096197,16082766,16065214,16192539,16017119,16118011,NA,NA,NA,16613493,NA,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,1203.69183926629,NA,1169.74713118292,1185.92030214638,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,NA,NA,NA,1995.29705310664,NA,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,0.0163354635367169,NA,0.00169167040367151,0.00103861655365034,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,NA,NA,NA,0.00203294714947334,NA,"A"
1013,45669,46351,48188,51091,35303,14471,51705,37587,46857,47381,12031,20311,46482,52456,79166,59329,68042,70756,48866,15253,435433,450276,468458,492437,487731,485727,515248,499219,468208,541838,568182,553941,563728,560184,578140,567733,584855,609244,615641,574717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7312,7568,7177,7311,7079,6238,5632,5763,5295,5249,6028,5587,6265,6234,6291,7177,6791,7287,8179,9223,3541324,3513254,3547022,3920127,4080423,4242256,4129841,3955003,3906916,4045578,3965263,4022352,4172456,4044602,4070817,4103250,4177988,4156657,3972609,3753827,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,1203.69183926629,1227.04363453638,1169.74713118292,1185.92030214638,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,0.0163354635367169,0.00347956112524506,0.00169167040367151,0.00103861655365034,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1015,21135,13037,16612,20741,37047,15028,10671,13236,33357,33177,7723,26484,34685,32203,44363,26576,31882,32342,22835,9864,3487094,3585435,3716295,4032708,4275113,4285067,4400426,4438806,4197841,4366524,4160592,4155626,4026676,3863268,3805848,3845108,3904458,3959304,4114829,3982561,9474,7387,10520,7320,5317,5378,6069,4392,4197,3797,2847,2755,2337,2035,1392,1843,2034,1952,2018,1665,36583,36853,37140,37059,38277,36661,41302,36573,34564,38564,38609,36550,36312,32390,32629,40079,38502,39531,42179,38114,10050707,10334290,10772771,11762403,12339827,12331681,12372026,12239800,11294420,11843028,11792504,12111559,12159719,11958528,12025961,12087313,12209820,12411270,12418702,11862956,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,1203.69183926629,1227.04363453638,1169.74713118292,1185.92030214638,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,0.0163354635367169,0.00347956112524506,0.00169167040367151,0.00103861655365034,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1019,32216,16214,21994,26984,22734,20086,NA,NA,39894,31029,41632,25935,49783,34167,58404,57069,65272,84154,72560,26897,384513,382810,402567,439789,432971,451873,NA,NA,447124,473975,477731,491707,525840,513412,519042,510173,508778,540834,527358,475640,6437,4873,5499,5626,4516,5116,NA,NA,6127,0,0,0,0,0,0,0,0,0,0,0,9338,9623,11667,11990,11152,9622,NA,NA,13134,11883,11745,11136,16075,12949,13473,13744,14193,16886,16537,18294,14102284,13790414,14047626,14920596,15142135,15158952,NA,NA,14509048,14785004,14408283,14300541,14363084,14363783,14590683,14714923,14776347,14920960,14872500,14041128,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,NA,NA,1169.74713118292,1185.92030214638,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,NA,NA,0.00169167040367151,0.00103861655365034,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
1021,22067,17045,20281,26340,31145,34661,23751,NA,NA,NA,15243,10866,18519,9853,9583,9471,9411,10542,10718,12234,638533,661191,687967,735488,757322,772025,779808,NA,NA,NA,807066,833949,873107,813025,833899,858556,880016,918168,980365,957204,6333,7122,7598,6213,3209,2412,2728,NA,NA,NA,2555,2608,2290,1996,709,0,0,146,480,246,19744,19738,22867,21414,17708,14400,9237,NA,NA,NA,17107,14435,27821,23263,23565,22678,24672,27488,26195,29574,10021289,10481969,10998071,11916696,13125623,13691377,14482539,NA,NA,NA,14359299,14784051,15138269,15261761,15882898,16199737,16555146,16832250,16997264,16492798,842.551020539099,890.822964332896,935.325803416099,987.507224344436,1044.63754894069,1113.14895258306,1203.69183926629,NA,NA,NA,1224.02139392336,1274.51443066992,1300.34891711287,1343.2795363846,1409.53038778281,1472.05463416467,1536.87018570448,1620.06558881241,1995.29705310664,2200.17239653667,0.0123106634426838,0.00741533256088218,0.00894558132567215,0.0208890160047776,0.0323855171988804,0.0336687229377164,0.0163354635367169,NA,NA,NA,0.000959678125724309,0.000730982779898323,0.000634191337358313,0.000650597238381161,0.00140387168091139,0.00310481785210469,0.00683594983532652,0.00843278653498697,0.00203294714947334,0.000516115658467254,"A"
